aa,first,last,rating,resourceid
,Tomás,Cardona,70,229536
,Arthur,Desmas,68,229537
,Louis,Appéré,65,229542
,Dayot,Upamecano,79,256711
,Hamad,Hawsawi,54,229558
Mexer,Edson André,Sitoe,75,240330
,Nemanja,Antonov,66,196801
,Efecan,Karaca,74,229571
,Arturo,Calabresi,71,234870
,Gianluca,Mancini,76,229574
,Pascal,Stenzel,72,229582
,Renzo,Zambrano,66,229584
,David,Kasumu,60,229588
,Marko,Pjaca,75,233938
,Ante,Ćorić,71,229593
,Lucas,Rodríguez,72,229594
,Simon,Straudi,61,229595
,Maximilian,Jansen,64,248823
,Lucas,Höler,71,234874
,Callum,Connolly,65,234875
,Victorien,Angban,71,229605
,George,Mells,58,229606
,Robin,Becker,65,229607
,Fernando,Souza,54,229610
,Harvey,Saunders,51,255803
,Írven,Ávila,65,251261
Adriano,Adriano,Correia Claro,74,196848
,Felipe,Carvalho,68,164082
,Vladimir,Rodić,68,229619
,Joel,Sánchez,64,229620
Sergi Guardiola,Sergio,Guardiola Navarro,77,196853
,Simone,Rapp,63,229624
Fali,Rafael,Jiménez Jarque,71,229625
,Fernando,Coniglio,63,229628
,Lucas,Pirard,66,216052
,Gastón,Pereiro,75,223957
,Gökhan,Akkan,72,229636
,Moses,Odubajo,69,229637
,Mads,Pedersen,68,202113
,Francisco,Flores,66,229640
,Jules,Van Cleemput,68,196873
,Gabriel,Suazo,68,229648
,Cristian,Gutiérrez,68,229649
,José Luis,Granados,67,229650
,Carlos,Lampe,69,196883
,Edemir,Rodríguez,64,196885
,Simone,Verdi,77,196887
,Cristian,Dájome,69,196889
,Bryan,Heynen,73,229658
,Demba,Thiam,65,229659
,Martin,Polaček,64,256730
,Ahmed,Barman,68,229662
Héldon,Héldon Augusto,Almeida Ramos,76,247696
Mario Hermoso,Mario,Hermoso Canseco,80,196899
,Jakov,Puljić,66,229668
,Sandro,Wieser,64,255761
,Brandon,Haunstrup,65,196905
,Franck,Bambock,69,229676
,Gilbert,Álvarez,65,229677
,Jack,Malone,54,196910
,Dael,Fry,70,252061
Rodrigo Pinho,Rodrigo Cunha,Pereira de Pinho,69,229682
,Marlon,Pack,73,229683
Henrique,Henrique,Gelain Custódio,68,196916
,Helmut,Gutiérrez,62,229686
,Wim,Vanmarsenille,55,196919
,Jannik,Huth,70,257517
Moon Seon Min,Seon Min,Moon,72,229692
,Nicolás,Benedetti,72,229694
,Philipp,Ochs,67,229699
,Oğuzhan,Özyakup,75,229701
Ignasi Miquel,Ignasi,Miquel i Pons,69,196934
,Jérémy,Vachoux,65,196935
,Jean-Kévin,Duverne,67,229704
,Jonathan,Lewis,65,229705
,Calum,Butcher,64,229707
Iñigo Pérez,Iñigo,Pérez Soto,74,196940
Jorge,Jorge Marco,de Oliveira Moraes,76,196942
,José,Bizama,68,229712
,Boniek,García,66,229713
,Emil,Bohinen,68,196948
,Will,Patching,58,234894
,Jake,Bidwell,70,229718
,Aristote,Nsiala,65,196952
,Mathias,Jensen,72,196953
,Marco,Lund,65,229723
,Jean-Pierre,Rhyner,66,229724
,Florian,Kamberi,69,229727
,Bartosz,Jaroch,62,229728
,Mohamed,Elneny,76,229730
,Christian,Schoissengeyr,65,213051
,Oskar,van Hattum,50,229733
,Harun,Alpsoy,64,253154
,Alessandro,Deiola,63,229742
,Bright,Enobakhare,65,229743
,Callum,Wilson,78,229745
,Mayron,George,66,196978
,Alexander,Barboza,73,229748
,Aslak,Falch,63,229749
,Djibril,Sow,74,196983
,Tsiy-William,Ndenge,65,229752
Manu García,Manuel,García Alonso,72,229753
,Rade,Krunić,73,223978
,Christophe,Diandy,69,229758
Olaetxea,Lander,Olaetxea,66,196991
,Conor,McCarthy,60,229765
,Georgiy,Dzhikiya,77,229771
Thiago Silva,Thiago Emiliano,da Silva,85,229773
,Liam,Edwards,58,164240
,Dániel,Gyollai,61,229779
,Jaze,Kabia,56,229783
Rubén Alcaraz,Rubén,Alcaraz Jiménez,78,255980
,Houssem,Aouar,81,229788
,Mu,Kanazaki,69,234906
,Benjamin,Tetteh,71,213061
,Marvin,Ducksch,72,229793
,Riyadh,Sharahili,57,197031
,Emanuel,Taffertshofer,68,229800
,Alexandru,Mitriță,75,229803
,Eric,Verstappen,61,229804
,Nico,Antonitsch,66,229806
,Rene,Swete,67,229815
,Dominik,Baumgartner,66,229817
,Joël,Geissmann,63,229818
,Joel,Matip,83,234912
,Osvaldo,Rodríguez,67,197061
,Akın,Alkan,56,229831
,Ricardo,Chávez,68,256759
,Jonathan,Sabbatini,66,229839
,Adrien,Regattin,71,229845
,Daniel,Caligiuri,77,197081
,Selim,Ilgaz,57,197083
,Julian,Albrecht,56,256762
,Javier,Parraguez,65,251301
,Stefano,Sensi,78,229856
Edu Expósito,Eduardo,Expósito Jaén,76,229857
David Carmo,David Mota,Teixeira Carmo,71,229862
,Juan Pablo,Passaglia,63,251616
,Ryota,Aoki,60,251303
,Alexander,Munksgaard,69,232427
,Dave,Romney,66,229873
,Aaron,Wan-Bissaka,83,229879
Eduardo Henrique,Eduardo,Henrique da Silva,71,229880
,Masood,Bakhit,62,229882
,Fabian,Bordagaray,68,245521
,Emmanuel,Hackman,68,202154
,Julian,Ryerson,67,229890
Álex López,Álex,López de Groot,65,229891
Lucas Ahijado,Lucas,Ahijado Quintana,67,229892
Jordi Calavera,Jordi,Calavera Espinach,69,229894
,Sandro,Lauper,67,229896
,Kaan,Kurt,63,229900
,Kik,Pierie,67,256770
,Abdülkerim,Bardakcı,66,234925
,Leon,Bailey,80,229905
,Svante,Ingelsson,63,229906
,Myles,Kenlock,65,229910
,Graziano,Pellè,75,229911
,Sebastián,Gularte,66,164376
,Marcus,Piossek,65,229915
,Osama,Al Khalaf,62,197148
,Sebastian,Stolze,69,229922
,James,Efmorfidis,64,229923
,Erik,Wekesser,65,229924
,Kyle,Knoyle,63,229925
Pedro Rebocho,Pedro Miguel,Braga Rebocho,74,229930
,Juan,Agudelo,68,234930
,Konrad,Handzlik,59,197166
Deng Yubiao,Yubiao,Deng,51,229936
,Kadeem,Harris,71,240392
,Axel,Disasi,75,197170
,Adam,Ouattara,56,229942
Romário Baldé,Romário,Baldé,66,256777
,Jack,Harper,70,229947
Anderson Lopes,Anderson José,Lopes de Souza,69,229948
,Lawrence Ati,Zigi,67,229949
,Edvinas,Girdvainis,63,229956
,Issah,Abass,66,234934
,Márton,Dárdai,61,245857
,Raphael,Borges Rodrigues,49,256780
,Luca,Netz,63,253403
,Fabien,Centonze,75,256781
,Jakub,Piotrowski,66,229971
,César,Montes,75,229973
,Rafał,Makowski,62,229980
,Ben,Chilwell,81,229981
Fran Villalba,Francisco José,Villalba Rodrigo,70,229984
,Nicolás,Lodeiro,78,229991
,Sören,Bertram,65,197225
,Sebastian,Larsson,73,197226
,Nedum,Onuoha,69,164459
,Khouma,Babacar,72,164462
,Bradley,Wright-Phillips,74,197231
,Gary,Cahill,77,164464
,Tom,Davies,75,164468
Pita,Carlos,Pita González,70,230005
Xisco,Francisco,Jiménez Tejada,71,164470
,Nahir,Besara,67,164471
,Grzegorz,Krychowiak,80,197240
,Matthías,Vilhjálmsson,67,197242
,Ellis,Iandolo,61,202175
,Vital,Nsimba,71,230014
,Johan,Dahlin,72,230019
,Joseph,Aidoo,74,164484
Javi Mier,Javier,Mier Martínez,63,230021
,Haissem,Hassan,64,246617
,Anthony,Maisonnial,65,245870
,Brad,Guzan,72,230038
,Youssef,Aït Bennasser,73,164505
,Faitout,Maouassa,77,230042
,Mason,Toye,64,230043
,Frank,Ronstadt,65,242253
,Lee,Evans,69,230047
,Yannick,Schmid,64,213105
,Drew,Moor,67,230064
,Demeaco,Duhaney,62,164529
,Maxime,Lopez,75,230068
,Jacob,Davenport,64,224030
,Riad,Bajić,69,230070
,Enock,Kwateng,72,230072
,Max,Fenger,57,230074
,Aldo,Kalulu,68,256799
,Sadou,Diallo,59,230079
,Lukas,Nmecha,67,230081
,Goran,Pandev,72,230084
Wen Da,Da,Wen,49,137506
,Nikola,Stojiljković,69,253739
,Chris,Wondolowski,68,230094
Vinicius Tanque,Vinicius,de Souza Oliveira,64,164559
,Lassana,Coulibaly,68,230099
,Felix,Schröter,63,230107
Rubio,Rubén,López Huesca,62,230109
Jhonatan,Jhonatan,Luiz Siqueira,71,240421
,Vamara,Sanogo,63,230117
,Ricardo,Escobar,63,230121
,Alan,Acosta,65,230124
,James,Brophy,64,230125
,Jordan,Thompson,64,230126
,Benjamin,Hansen,65,230136
,Oumar,Gonzalez,63,241139
Muguruza,Joseba,Muguruza Bengoa,65,230140
Oyarzabal,Mikel,Oyarzabal Ugarte,84,230141
,Kastriot,Dermaku,68,230142
,Clemens,Fandrich,69,230143
,Conor,Wilkinson,61,197376
,Jeff,Larentowicz,67,213120
,Falaye,Sacko,78,164610
Luís Machado,Luís Miguel,Vieira Babo Machado,65,230147
,Bryan,Figueroa,61,230150
,Erik,Sabo,65,240428
,Lars,Vilsvik,66,230157
,Jacob,Shaffelburg,62,197391
,Kodjo Fo-Doh,Laba,75,251352
Anselmo,Anselmo,de Moraes,76,251353
,Robin,Tihi,61,197402
,Yannick,Gomis,70,256817
,Aaron,McGowan,65,234972
,Piotr,Krawczyk,57,213127
,Felix,Wiedwald,71,251359
,David,Alaba,84,197439
,Troy,Parrott,65,197445
,Tom,Clarke,67,245902
,Tomáš,Huk,62,173518
,Harvey,White,60,251364
,Felix,Luckeneder,67,245903
,Idriss,Saadi,67,238986
,Qazim,Laçi,69,197480
,Yasser,Al Mosailem,67,234983
,Dennis,Cirkin,61,197496
Esquerdo,Vicente,Esquerdo Santas,64,256831
,Hassan,Al Raheb,59,254263
,Mohammed,Al Saeed,56,197511
,Jeppe,Tverskov,69,234988
,Panajotis,Dimitriadis,64,224067
,Moses,Opondo,64,197527
,Lee,Wallace,68,234991
,Rodrigo,Zalazar,61,164766
,Tanguy,Coulibaly,59,251377
,Weston,McKennie,75,251401
,Nicolás,Gorosito,68,238744
,Mohanad,Salem,65,234816
Azón,Juan Carlos,Azón Marco,60,197592
,Berkay,Özcan,69,254266
,Łukasz,Fabiański,81,235717
,Adam,Federici,70,164835
,Theo,Walcott,76,164853
,Benjamin,Leroy,72,164859
,Lior,Refaelov,73,197641
,Nathan,Smith,63,164878
,Sebastián,Coates,81,222625
,Ali,Ahamada,70,197655
,Matthew,Garbett,55,197678
,Stratos,Svarnas,64,255360
Gabriel Silva,Gabriel Moisés,Antunes da Silva,74,245540
,Andrea,Seculin,70,197688
,Yacouba,Diori,62,197689
,Jorman,Campuzano,75,252087
,Dmitriy,Rybchinskiy,65,242267
,Mikal Berg,Kvinge,49,247723
,Teal,Bunbury,67,254270
,Stéphane,M'Bia,73,197716
,Damián,Martínez,72,164959
,Luke,Southwood,63,224104
,Jordan,Ayew,77,235027
,Fedor,Chalov,74,197756
,Jakub,Błaszczykowski,75,235029
,Ahmed,Al Zain,63,164994
,Alejandro,Frezzotti,65,230532
,Gerardo,Bruna,58,229569
,Raffaele,De Vita,63,197770
,Will,Nightingale,62,169495
,Alexandros,Paschalakis,73,221538
,Jacopo,Sala,72,240493
Isco,Francisco Román,Alarcón Suárez,84,197777
,Diego,Fabbrini,68,197781
,Giulio,Donati,73,197785
,Gianluigi,Buffon,82,197786
,Alessio,Da Cruz,66,1179
,Maryan,Shved,67,230557
,Arnold,Isako,72,230559
,Jay-Roy,Grot,64,230560
,Mijat,Gaćinović,73,230561
,Tomás,Rojas,62,230564
,Mouctar,Diakhaby,72,245544
,Jonas,Martin,73,230578
,Luke,Woolfenden,65,197813
Gaspar Campos,Gaspar,Campos-Ansó,63,240500
,Sander,van Looy,60,256885
,Gabriel,Popovic,52,230593
,Jaime,Carreño,69,253753
,Jason,Davidson,66,230598
,Dedryck,Boyata,77,197831
,Yannick,Deichmann,63,197837
,Amadou,Diawara,75,230607
,Marios,Ogkmpoe,59,230613
,Akihiro,Hayashi,72,242272
,Serge,Aurier,80,197851
,Sinan,Bakış,67,197853
,Umut,Nayir,69,230623
Matheus Reis,Matheus,Reis de Lima,76,230624
,Marco,Festa,62,230625
,Jhon,Vásquez,66,230631
,Ştefan,Radu,78,230638
,Paris,Cowan-Hall,63,165109
,Naoki,Ishikawa,62,197883
,Jojo,Wollacott,61,232453
,Kent Malic,Swaleh,50,230653
Arribas,Alejandro,Arribas Garrido,71,256458
Juanmi,Juan Miguel,Jiménez López,75,197890
,Ivan,Paurević,69,197891
,Adam,Straith,62,197893
Gustavo Sauer,Gustavo,Affonso Sauerbeck,74,197896
Gabriel Jesus,Gabriel,Fernando de Jesus,83,230665
,Mike,Cestor,67,230666
,Miguel Angel,Sansores,64,197904
,Fraser,Horsfall,60,197907
,Kiril,Despodov,73,230677
,Giuseppe,Pezzella,72,245977
,Shaquil,Delos,61,230681
,Emre,Akbaba,74,248821
,Jean-Victor,Makengo,70,230685
,Aldin,Turkeš,67,230686
,Karim,Benzema,89,230687
,Maxime,Dominguez,62,165153
,Michael,Kempter,57,230690
,İsmail,Çipe,64,230691
,Takayuki,Seto,67,230694
,Ethan,Robson,60,230696
,Josh,Parker,61,230697
Cubillas,David,Cubillas Peña,66,197930
,Papy,Djilobodji,72,197936
,Joe,Worrall,72,197937
,Kennedy,Igboananike,64,230708
,Mousa,Madkhali,59,197941
,Ryan,Bowman,63,230712
,Florian,Lejeune,77,197945
,Tino,Kadewere,74,197948
,Ionuț,Șerban,61,230717
,Eunan,O'Kane,65,257732
,Gjermund,Åsen,66,197953
,Richard,Figueroa,60,197954
Romera,José Antonio,Romera Navarro,68,254677
,Joe,Ledley,67,245549
,Gautier,Larsonneur,77,165190
Pizzi,Luis Miguel,Afonso Fernandes,84,230727
,Tobias,Lauritsen,60,197965
,Denis,Alibec,72,230737
,Sam,Morsy,70,197971
,Grejohn,Kyei,65,197975
,George,Francomb,64,222636
,Conor,Davis,55,197990
Cho Yoon Sung,Yoon Sung,Cho,54,230759
,Eric,Larsson,70,255499
,Laurent,Koscielny,79,197996
Renato Sanches,Renato Júnior,Luz Sanches,78,165229
,Justin,Morrow,70,230767
,Moataz,Al Baqawi,53,198000
,Peter,Bjur,54,240531
,Jens,Toornstra,75,248824
Jesiel,Jesiel,Cardoso Miranda,68,198006
,Mattia,Perin,82,230776
,Tom,Eaves,67,198009
,Itumeleng,Khune,73,198011
,Michael,Pereira,66,165247
Pepelu,Jose Luís,García Vayá,70,198017
,Pascal,Testroet,69,230786
Ximo Navarro,Joaquín,Navarro Jiménez,74,198019
,Yann-Erik,de Lanlay,67,198023
Álvaro Traver,Álvaro,Traver Navarrete,67,198024
Nacho Gil,Ignacio,Gil,68,230793
Sérgio Oliveira,Sérgio Miguel,Relvas de Oliveira,78,230794
,Dan,Burn,75,198031
,Ali,Hazazi,63,198032
,Razak,Boukari,64,230801
,Mark,Gillespie,71,165269
,Callum,Johnson,66,198039
,Alex,Pattison,63,230809
,Damian,Dąbrowski,68,230812
,Osman,Kakay,60,198046
José Machín,José Ndong,Machín Dicombo,69,230815
,Olamide,Shodipo,63,230817
,Alan,Mozo,73,230819
Pichu Atienza,Fco. Javier,Atienza Valverde,68,230829
,Alexis,Peña,66,198062
,Jean Armel,Drolè,68,230834
,Erlend Dahl,Reitan,63,230835
,Sofyan,Amrabat,77,230836
,George,Williams,63,224158
,Patrick,Herrmann,78,198071
,Regan,Charles-Cook,61,198077
,Zachary,Elbouzedi,61,230846
,Gojko,Cimirot,74,230847
,Juan Manuel,Tévez,64,230850
Nuno da Costa,Nuno Miguel,da Costa Jóia,73,224161
,Samuele,Perisan,63,230857
,Denis Will,Poha,67,230858
,Collen,Warner,65,230860
,Corey,Blackett-Taylor,64,198094
Unai Simón,Unai,Simón Mendibil,80,230864
,Dominik,Stahl,67,230869
,Matt,Butcher,59,198104
Unai Etxebarría,Unai,Etxebarría Martín,63,230876
,Marco,Höger,72,230877
,Jack,Simpson,66,198113
Víctor García,Víctor,García Raja,66,230882
,Josuha,Guilavogui,78,246011
,Aiden,O'Neill,65,198118
,Brandon,Wilson,60,230888
,Owen,Evans,61,230890
,Andre,Wright,60,230893
Caio,Caio,Canedo Corrêa,73,230895
,Celso,Ortíz,78,198128
,Ademola,Lookman,74,198129
,Kyle,Adams,57,230899
,Leandro,Bacuna,68,255375
,Rodrigo,Rojas,71,198133
Lazo,José Carlos,Lazo Romero,72,198138
,Rogelio,Funes Mori,78,229631
Bartra,Marc,Bartra Aregall,80,198140
Samu Sáiz,Samuel,Sáiz Alonso,70,198141
,Paolo,Ghiglione,69,198143
,Sergio,Araujo,69,230912
,Mark,van der Maarel,66,198145
,Alex,Iacovitti,62,198147
,Jake,Taylor,63,230919
Thiago Santos,Thiago,dos Santos,70,198153
,Leandro,Marín,68,230923
Jonathan Viera,Jonathan,Viera Ramos,81,198156
,Lucas,Schoofs,63,198164
,Mauro,Zárate,76,230933
,Ádám,Nagy,72,153177
,Franck Yannick,Kessié,77,230936
,Josh,Pask,61,230938
,Stefan,de Vrij,84,230942
,Bart,Schenkeveld,71,198176
,André,Calisir,66,198177
,Daniel,Devine,57,198178
,Tomislav,Kiš,65,230950
,Prince Isaac,Kouame,54,230954
,Greg,Cunningham,72,256946
,Petar,Slišković,60,198190
,Michael,Santos,71,198195
,Nahitan,Nández,77,230964
Jordi Amat,Jordi,Amat Maas,70,230965
Alcolea,Pablo,Alcolea Guerrero,63,198198
,Benjamin,Stambouli,77,198199
,Faïz,Selemani,70,198200
,Nikola,Tzanev,57,230969
,Christoph,Riegler,68,230971
,Duván,Vergara,73,234646
,Jason,Taylor,59,230975
,Jacob,Tratt,60,165441
Leandro Damião,Leandro Damião,da Silva dos Santos,73,230980
,Espen,Børufsen,63,198213
,Luke,Ivanovic,57,165447
,Gary,Dicker,70,247259
,Lorenzo,Insigne,85,165449
,Mehdi,Bourabia,69,198219
Fafà Picault,Fabrice-Jean,Picault,67,198220
,Sidy,Sarr,69,230991
Germán,Germán,Sánchez Barahona,77,230995
,Facundo,Colidio,67,198230
,Jon,Taylor,68,245461
,Chiedozie,Ogbene,66,198235
,Cian,Coleman,57,231005
,Josip,Mišić,73,231006
Raúl Carnero,Raúl,García Carnero,73,231007
,Carlos,de Pena,73,198240
,Tomás,Andrade,66,231012
,Anthony,Glennon,61,231013
,Eitaro,Matsuda,55,247741
,Craig,Clay,63,255543
,Jason,Demetriou,66,198252
,Cristian,Dell'Orco,68,165485
,Seth,Sinovic,65,231022
,Myles,Judd,58,198257
,Antonio,Marchesano,67,231026
,Matija,Šarkić,61,231027
,Tim,Ream,70,231028
,Samed,Kaya,58,198261
,Billy,Ketkeophomphone,67,231031
,Joe,Maguire,63,198264
,Pius,Dorn,65,231033
,Casimir,Ninga,73,231039
,Jesper,Hansen,75,231041
,Billy,Clarke,63,132740
,Jake,Eastwood,61,165509
,Michał,Rostkowski,52,231046
,Luis Miguel,Escalada,64,252226
,Fernando,Gago,73,165515
,Stefan,Marinović,71,165517
,Benrandy,Abdallah,61,231056
,Pat,Webber,57,246040
,Gabriel,Paletta,71,240579
,Te Atawhai,Hudson-Wihongi,61,165526
,Yosmel,Gil,59,231064
,Ismael,Sosa,74,255674
,Bruno,Pittón,75,165531
Miquel Parera,Miquel,Parera Pizá,67,231070
,Gustavo,Cabral,74,231071
,Boris,Radunović,68,165536
,Mateusz,Pieńczak,53,231073
,Ibrahima,Sissoko,69,252497
Aguilera,Juan,Aguilera Núñez,68,231089
Zeng Chao,Chao,Zeng,58,198322
,Juan Diego,Rojas,69,231091
,Nejc,Skubic,73,231094
Rodrigo,Rodrigo,Moreno Machado,82,231095
,Ivan,Franjić,66,198329
,Matěj,Vydra,73,198330
,Marco,Weymans,62,198331
,Ludovic,Blas,76,231101
,Bryan,Oviedo,67,231102
,Alexandre,Olliero,67,198335
,Alfie,Kilgour,65,231105
,Silvan,Hefti,73,231107
,Aly,Ndom,65,231108
,Patrick,Erras,69,231109
,Alexander,Hack,72,231110
,Zelimkhan,Bakaev,75,231111
,Franco,Jara,75,231113
,Mathias,Autret,72,198347
,Daniel,Bentley,70,198348
,Nicolae,Milinceanu,62,198350
,Stefan,Bell,73,256973
,Jhonathan,Ramis,59,198352
,Steve,Clark,73,198354
,Dinu,Graur,63,198355
,Martin,Spelmann,60,251513
,Archie,Procter,50,231132
Tomás Pina,Tomás,Pina Isla,76,251514
,Christian,Bassogog,73,198368
,Jack,Fitzwater,63,231138
,Scott,Robinson,62,231139
,Liam,Palmer,68,198373
,Ángelo,Preciado,66,198377
Jamiro Monteiro,Jamiro Gregory,Monteiro Alvarenga,73,246055
,Edison,Vega,63,231150
,Sebastián,Méndez,65,246056
,Alin,Toșca,68,246057
,Alexander,Kačaniklić,70,233512
,Dejan,Djokic,55,198394
,Jesper,Löfgren,61,256981
,Jaman,Al Dossary,59,247042
Guruzeta,Gorka,Guruzeta Rodríguez,67,231179
,Kai,Brünker,62,231184
,Majeed,Waris,73,242291
,Gonzalo,Castellani,70,198420
,Víctor,Centurión,60,198426
,Stanislav,Tecl,72,231196
,Hakeem,Odoffin,60,198429
,Juan,Peñaloza,60,231199
,Edward,McGinty,60,246064
,Tom,Bradshaw,69,237927
,Jhon,Lucumi,73,198437
,Esteban,Rolón,66,231207
Dani Rodríguez,Daniel,Rodríguez Vázquez,75,231212
,Fabián,Henríquez,67,198451
,Johan,Larsson,71,231222
,Niklas,Dorsch,74,198455
Lee Hee Kyun,Hee Kyun,Lee,60,231227
,Brayan,Garnica,68,247748
,Kelvin,Amian,75,231231
,Mathieu,Cafaro,74,231235
,Peter Vindahl,Jensen,65,231236
,Emre,Mor,72,231237
,Nicolás,Milesi,69,231240
Guitián,Alberto,Guitián Ceballos,71,235746
,Edson,Reséndez,65,198474
,Braian,Cufré,74,231244
,Shane,McEleney,56,231247
,Ruairí,Harkin,55,198485
,James,McClean,71,198486
,Alexander,Faltsetas,65,198489
,Jérémy,Gélin,72,198490
,Thomas,Rodríguez,63,231263
,Mark,Connolly,63,231264
,Jason,Lokilo,58,198497
,Fynn,Otto,59,231267
,Calum,Waters,61,257081
,Brad,Jones,72,231270
,David,Wheater,64,165735
,Jeronimo,Cacciabue,68,165736
,Erwan,Maury,60,242294
Iván Alejo,Iván,Alejo Peralta,74,231278
Cláudio Ramos,Cláudio Pires,de Morais Ramos,77,231280
,Ryan,Delaney,62,198513
,Christoffer,Aasbak,66,231284
,Joe,Redmond,52,198519
,Jamal,Lewis,74,246079
,Mattias,Andersson,57,231292
,Geraldo,Bajrami,56,251541
,Erwin,Saavedra,69,246080
,Marcel,Rømer,65,231301
,Mads,Greve,64,198534
Cássio,Cássio,Albuquerque Anjos,74,198535
,Bjørn,Paulsen,67,165769
,Morgan,Poaty,67,198538
,Aaron,Greene,62,231307
,Romain,Perraud,73,198543
José Amo,José María,Amo Torres,62,231318
,Cristian,Gamboa,70,231320
,Anthony,Ujah,71,198553
,Jorge,Ortiz,62,198554
,Leonardo,Ulloa,70,165787
Carlos Ruiz,Carlos,Ruiz Aránega,66,165788
,Robert,Kakeeto,57,198560
,Joshua,Mees,69,231330
,Jorge,Flores,64,229702
,Paul,Osew,61,231335
,Gonzalo,Montiel,78,251548
,Dylan,Fox,61,231340
,Moussa,Koné,68,231342
,Alexis,Alégué,61,231344
,Óscar,Murillo,76,231346
,Yerko,Urra,68,198581
,Tammy,Abraham,78,231351
,Emmanuel,Iyoha,67,231352
,Miloš,Pantović,67,231353
Ayrton,Ayrton Lucas,Dantas de Medeiros,75,231354
,Matthew,Millar,68,231355
,Greg,Garza,69,231356
,Gerard Bi Goua,Gohou,62,198589
,Jalil,Elías,71,198590
,Joris,Gnagnon,76,231360
,Philipp,Lienhart,72,231361
,Martin,Linnes,74,231366
,Luis,Mendoza,71,198599
,Daiya,Maekawa,64,198601
,Joakim Våge,Nilsen,63,241206
,Niklas,Hoffmann,59,198604
Raúl Navas,Raúl,Rodríguez Navas,73,231379
,Dominick,Drexler,73,198614
,Noel,Mbo,58,198617
,Lucas,Algozino,63,231387
,Hallur,Hansson,65,231388
João Carvalho,João António,Antunes Carvalho,71,198622
,Joe,Shaughnessy,63,231391
,Scott,Bain,72,198624
,Ciaran,Kelly,58,198625
Álvaro Arroyo,Álvaro,Arroyo Martínez,69,231396
Rodri,Rodrigo,Ríos Lozano,68,198630
,Matt,Penney,64,198631
,Connor,Kirby,60,231402
,Kyle,Edwards,68,231403
,Zakaria,Labyad,75,231406
,Kenneth,Zohore,70,198640
,Dan Peter,Ulvestad,68,198641
,Kenzo,Goudmijn,63,198642
,Vamouti,Diomande,61,246099
,Michael,Verrips,69,198644
Waldo,Waldo,Rubio Martin,75,231413
Yang Sang Min,Sang Min,Yang,62,231414
,Kristoffer,Askildsen,57,165880
,Martín,Silva,73,246100
,Christopher,Missilou,64,198653
,Ahmet,Arslan,65,198655
Park Chu Young,Chu Young,Park,69,231424
,Fredrik,Midtsjø,78,165889
,Filippo,Bandinelli,68,198658
Yang Dong Hyen,Dong Hyen,Yang,65,231428
,Takuya,Yasui,62,165894
Aitor,Aitor,Cantalapiedra,71,241208
,Grady,Diangana,73,231433
Mario,Mario,Rodríguez Ruíz,62,231436
,Marcus,Browne,67,255393
,Ousmane,Dembélé,83,231442
Oh Beom Seok,Beom Seok,Oh,63,231443
,Josh,Dasilva,71,165908
,Marcus,McGuane,62,231445
,Donyell,Malen,78,231446
,Reiss,Nelson,72,231447
,Manolo,Gabbiadini,75,231448
,Marcelo,Herrera,70,198683
,Saliou,Ciss,69,246106
,Florentin,Pogba,68,198687
,Kristoffer,Barmen,67,198688
